year,name,height_in,weight_lbs,40,bench,vertical,broad_jump,shuttle,3_cone
2020,Darrell Stewart,74.0,216,4.55,15,35.0,117,4.28,7.05
2020,Freddie Swain,72.0,199,4.46,16,36.5,124,4.26,7.05
2020,Jeff Thomas,68.88,170,4.45,9,36.5,125,4.22,6.95
2020,Binjimen Victor,75.75,198,4.6,9,35.0,128,4.24,7.1
2020,Quez Watkins,72.13,185,4.35,12,36.5,125,4.36,7.28
2020,Cody White,75.0,215,4.66,16,35.5,120,4.52,7.19
2019,J.J. Arcega-Whiteside,74.0,225,4.5,17,34.0,119,4.41,7.23
2019,Jaelan Austin,71.75,194,4.54,4,35.0,120,4.24,7.0
2019,Alex Bachman,71.38,195,4.47,17,33.0,127,4.28,6.71
2019,Miles Boykin,75.75,220,4.42,12,43.5,140,4.07,6.77
2019,Tyre Brady,74.88,211,4.76,12,32.0,117,4.25,7.24
2019,A.J. Brown,72.5,226,4.49,19,36.5,120,4.25,7.0
2019,Marquise Brown,69.38,166,4.27,9,34.0,118,4.22,6.95
2019,Shun Brown,68.25,185,4.72,12,34.5,114,4.3,7.06
2019,Emmanuel Butler,75.0,217,4.75,11,36.0,115,4.22,7.41
2019,Hakeem Butler,77.63,227,4.48,18,36.0,128,4.16,7.09
2019,Parris Campbell,71.88,205,4.31,11,40.0,135,4.03,7.02
2019,Juston Christian,71.63,196,4.49,16,36.0,126,4.5,7.32
2019,Jamal Custis,76.13,214,4.5,16,34.5,124,4.46,7.23
2019,Felton Davis,75.5,211,4.55,21,35.5,121,4.28,7.05
2019,Ryan Davis,69.88,189,4.63,12,35.0,124,4.23,7.09
2019,Jakari Dillard,75.25,210,4.54,14,35.0,121,4.27,7.02
2019,Johnnie Dixon,70.38,201,4.41,16,37.5,120,4.43,7.38
2019,Greg Dortch,67.13,173,4.59,11,33.0,109,4.08,6.89
2019,Keelan Doss,74.75,211,4.56,8,36.0,124,4.28,7.05
2019,Ashton Dulin,73.38,215,4.43,13,38.0,121,4.22,7.0
2019,Jovon Durante,71.13,160,4.55,5,31.5,120,4.31,7.0
2019,Tony Ellison,71.0,181,4.68,2,30.0,123,4.2,6.77
2019,Jazz Ferguson,76.75,227,4.45,8,37.0,123,4.59,7.25
2019,Travis Fulgham,74.38,215,4.58,15,36.5,126,4.22,6.84
2019,Terry Godwin,71.5,184,4.55,12,36.5,117,4.18,6.96
2019,Marcus Green,67.88,190,4.41,14,37.0,124,4.41,6.88
2019,Jalen Greene,73.88,205,4.67,16,32.0,122,4.46,7.09
2019,Jalen Guyton,72.88,212,4.39,13,37.5,125,4.09,6.9
2019,Emanuel Hall,73.88,201,4.39,15,43.5,141,4.27,7.02
2019,Mecole Hardman,70.25,187,4.33,17,36.5,119,4.25,6.75
2019,Kelvin Harmon,74.13,221,4.6,18,32.5,117,4.32,7.15
2019,Treon Harris,71.13,196,4.66,13,29.5,117,4.55,7.28
2019,N'Keal Harry,74.88,228,4.53,27,38.5,122,4.28,7.05
2019,Penny Hart,68.0,180,4.63,18,33.5,111,4.75,7.64
2019,Jerrod Heard,73.13,201,4.55,19,34.5,116,4.44,7.16
2019,Corey Holmes,73.13,183,4.54,12,38.5,133,4.08,7.34
2019,Lil'Jordan Humphrey,75.63,210,4.75,13,33.5,119,4.29,7.09
2019,Jalen Hurd,76.63,226,4.64,23,35.5,124,4.15,7.04
2019,Trenton Irwin,73.5,204,4.54,14,35.0,121,4.27,7.02
2019,Andy Isabella,68.75,188,4.31,15,36.5,121,4.15,6.95
2019,Taivon Jacobs,69.75,170,4.64,13,39.0,123,4.22,6.95
2019,Gary Jennings,73.0,214,4.42,20,37.0,127,4.15,7.32
2019,Anthony Johnson,73.88,209,4.55,18,32.5,122,4.27,7.12
2019,Diontae Johnson,70.5,183,4.53,15,33.5,123,4.45,7.09
2019,JonVea Johnson,70.75,188,4.4,12,35.0,128,4.17,6.68
2019,KeeSean Johnson,73.13,201,4.6,14,30.0,117,4.23,7.28
2019,Olabisi Johnson,72.5,204,4.51,14,38.0,124,4.16,6.88
2019,Tyron Johnson,72.88,193,4.36,16,30.0,116,4.4,7.07
2019,Derek Kief,76.5,204,4.72,14,35.0,125,4.32,7.07
2019,Damarkus Lodge,73.88,202,4.55,11,33.5,119,4.53,7.06
2019,Terry McLaurin,72.13,208,4.35,18,37.5,125,4.15,7.01
2019,D.K. Metcalf,75.38,228,4.33,27,40.5,134,4.5,7.38
2019,Jakobi Meyers,73.63,203,4.63,13,37.0,118,4.23,7.07
2019,Scott Miller,69.13,174,4.36,15,34.0,123,4.02,6.97
2019,Dillon Mitchell,73.25,197,4.46,12,36.5,122,4.29,6.93
2019,Stanley Morgan,72.0,202,4.53,14,38.5,125,4.13,6.78
2019,Nyqwan Murray,70.25,193,4.63,8,34.0,113,4.4,7.2
2019,Flynn Nagel,71.25,188,4.73,11,28.5,102,4.21,6.95
2019,Kyrion Parker,74.75,207,4.56,9,37.0,126,4.46,7.2
2019,Tristan Payton,71.63,197,4.59,11,32.5,116,4.34,6.9
2019,Michiah Quick,70.5,178,4.55,11,34.0,118,4.22,6.99
2019,T.J. Rahming,68.25,163,4.64,9,32.0,114,4.63,6.88
2019,Anthony Ratliff-Williams,72.25,205,4.57,14,35.0,126,4.38,6.9
2019,Hunter Renfrow,70.5,180,4.59,7,35.0,116,4.19,6.8
2019,A.J. Richardson,71.38,202,4.62,11,33.5,110,4.44,7.12
2019,Riley Ridley,73.25,194,4.58,13,30.5,124,4.28,7.22
2019,Deebo Samuel,71.25,214,4.48,15,39.0,122,4.14,7.03
2019,David Sills,75.25,211,4.57,14,37.5,117,4.28,6.97
2019,Raelon Singleton,74.88,208,4.54,14,37.5,131,4.5,7.01
2019,Darius Slayton,73.0,190,4.39,11,40.5,135,4.15,7.0
2019,Jaylen Smith,74.25,213,4.47,14,34.5,122,4.48,7.55
2019,Jeff Smith,72.0,191,4.36,15,36.5,127,4.06,6.87
2019,TJ Smith,69.5,174,4.57,16,35.5,123,4.39,7.0
2019,Dredrick Snelson,71.38,189,4.55,10,30.5,116,4.39,7.27
2019,Jayson Stanley,73.63,209,4.46,12,35.0,126,4.34,7.14
2019,Brad Stewart,72.75,186,4.66,10,35.0,119,4.2,7.03
2019,DeAndre Thompkins,71.25,192,4.34,13,34.0,126,4.26,7.02
2019,Cody Thompson,73.5,205,4.57,19,38.5,119,4.03,6.87
2019,Trevion Thompson,74.0,197,4.52,13,36.0,122,4.32,6.82
2019,Kavontae Turpin,68.88,158,4.5,2,40.0,129,4.25,6.65
2019,John Ursua,69.13,178,4.56,17,37.0,120,4.16,6.77
2019,Jamarius Way,75.5,215,4.63,16,32.5,119,4.66,7.44
2019,Moe Ways,75.13,218,4.63,18,35.0,117,4.39,7.28
2019,Alex Wesley,71.88,190,4.45,13,38.5,125,4.44,7.4
2019,Antoine Wesley,76.13,206,4.68,6,37.0,117,4.26,7.07
2019,Vic Wharton,70.63,193,4.65,11,29.0,106,4.38,7.26
2019,Reggie White,74.0,208,4.52,10,37.0,120,4.07,6.81
2019,Preston Williams,76.25,211,4.61,16,31.5,116,4.35,7.11
2019,Juwann Winfree,73.13,210,4.53,16,33.0,125,4.25,6.97
2018,Deontez Alexander,73.25,196,4.35,15,37.5,130,4.08,6.91
2018,Marcell Ateman,76.5,216,4.62,13,34.0,121,4.25,7.07
2018,Cameron Batson,68.25,175,4.35,14,39.0,124,4.0,6.69
2018,Braxton Berrios,68.63,184,4.44,11,36.0,110,4.18,6.72
2018,Saeed Blacknall,74.0,208,4.37,24,32.5,127,4.19,6.77
2018,Deontay Burnett,71.63,186,4.54,12,34.5,119,4.23,6.99
2018,Deon Cain,73.88,202,4.43,11,33.5,115,4.37,6.71
2018,Antonio Callaway,70.63,200,4.41,7,34.0,121,4.33,7.0
2018,Dylan Cantrell,74.88,226,4.59,18,38.5,130,4.03,6.56
2018,Darren Carrington,74.25,199,4.78,9,36.0,120,4.51,6.96
2018,D.J. Chark,74.88,199,4.34,16,40.0,129,4.24,7.0
2018,James Clark,69.0,180,4.49,6,36.5,123,4.31,7.32
2018,Simmie Cobbs,75.13,220,4.64,11,30.0,113,4.32,6.7
2018,Keke Coutee,69.75,181,4.43,14,34.5,113,4.15,6.93
2018,Jawill Davis,72.88,191,4.38,14,39.0,123,4.56,7.52
2018,John Diarse,71.38,211,4.58,14,33.5,121,4.4,7.19
2018,Armanti Foreman,71.75,205,4.58,17,35.0,120,4.28,7.23
2018,Robert Foster,73.63,196,4.41,13,31.0,116,4.2,6.9
2018,Daurice Fountain,73.5,206,4.51,14,42.5,134,4.29,7.02
2018,Russell Gage,72.0,186,4.5,15,39.0,122,4.25,7.03
2018,Michael Gallup,72.75,205,4.51,10,36.0,122,4.37,6.95
2018,Donald Gray,69.63,204,4.62,16,32.0,118,4.41,7.12
2018,Davon Grayson,72.75,199,4.51,19,34.5,124,4.4,7.14
2018,Daesean Hamilton,72.63,203,4.52,16,34.5,118,4.15,6.84
2018,Quadree Henderson,68.0,192,4.5,12,32.5,120,4.28,6.89
2018,Ishmael Hyman,72.0,196,4.45,13,30.0,116,4.37,7.14
2018,Richie James,70.13,183,4.48,6,35.5,122,4.16,6.87
2018,Adonis Jennings,74.25,203,4.57,14,31.0,116,4.31,7.06
2018,Ricky Jeune,74.13,213,4.56,15,36.0,119,4.39,6.96
2018,Garrett Johnson,70.25,169,4.5,12,40.0,118,4.26,6.81
2018,Christian Kirk,70.38,201,4.47,20,35.5,115,4.45,7.09
2018,Keith Kirkwood,74.5,221,4.45,17,35.0,125,4.43,6.94
2018,Chris Lacy,75.0,205,4.51,11,33.5,120,4.6,7.29
2018,Jordan Lasley,73.0,203,4.5,8,34.5,112,4.19,7.27
2018,Allen Lazard,76.63,227,4.55,17,38.0,122,4.33,7.11
